SAMPLE_KEY,smiles
BJ1895992,"CCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@@]1(C)OC(C)=O)O[C@@H]1[C@@H](C)O[C@@H](O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](OC(C)=O)\C=C\C=C\C[C@@H](C)OC(=O)C[C@@H](OC(=O)CC)[C@@H]2OC)[C@H](O)[C@H]1N(C)C |t:38,40|"
BJ1896817,Cc1ccc2nc(N)nc(O)c2c1Sc1ccncc1
BJ1894558,CCn1nc(C(O)=O)c(=O)c2cc3OCOc3cc12
BJ1894572,CN1CCN(CC1)C(c1ccccc1)c1ccccc1
BJ1894567,Oc1ccc(Cl)c2cccnc12
BJ1896431,COCCN1CCC(CC1)(C(=O)NO)S(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1
BJ1894099,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1
BJ1896838,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
BJ1896500,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCC1
BJ1894110,Cc1[nH]c2ccc(O)cc2c1CCN
BJ1894127,Oc1ccc(cc1O)\C=C(/C#N)C(=O)Nc1ccccc1
BJ1894273,CC(C)n1cnc2c(cc(Cl)cc12)C(=O)N[C@H]1CN2CCC1CC2
BJ1894289,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C
BJ1896417,CN(c1ccc(NC(=O)Nc2ccccc2)cc1)S(=O)(=O)c1cnn(c1)-c1ccc(F)cc1
BJ1894021,OC(=O)c1cc(O)c2ccc(Cl)cc2n1
BJ1896371,Nc1cccc(CNC(=O)c2ccc(Oc3ccc(OCc4cccc(F)c4)cc3)nc2)c1
BJ1896326,NC(=O)c1cccc(c1)-c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1
BJ1895688,COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1
BJ1896446,CCCCNc1nc(N)c2[nH]c(=O)n(Cc3ccc(OCCN(C)C)nc3)c2n1
BJ1894187,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
