compound,PC1,PC2,smiles
BJ1896545,86.44039096270113,2.7768347404120184,C[C@H](c1cnc[nH]1)c1cccc(C)c1C
BJ1895781,91.69675889880205,6.314616829167044,"CC1(C)C(=O)N=C2C1=C(O)C(=O)c1ccccc21 |c:5,8|"
BJ1896126,114.37580920866478,-0.6461385331334064,Cc1ccc(c(C)c1)-c1csc(NC(=O)c2ccccc2)n1
BJ1894179,91.55414616943824,-2.108025060055972,C\C(=C/c1ccc(cc1)C(O)=O)c1ccc2c(c1)C(C)(C)CCC2(C)C
BJ1896423,101.45474645803908,-5.986514651298607,Cc1c(F)cc(cc1-c1c(F)cn2c(nnc2c1F)C(C)(C)C)C(=O)NC1CC1
BJ1895784,79.66129094358291,-8.177146916662604,CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1
BJ1895748,96.57074547695312,-0.2081448631553208,FC(F)(F)c1ccc(CCN2CCC3(CC2)OC(=O)Nc2ccccc32)cc1
BJ1896415,62.26061596789534,2.80619713433933,[O-][N+](=O)c1ccc(OC(=O)N2CCN(Cc3cccc(Oc4ccccc4)c3)CC2)cc1
BJ1896460,96.80464701045577,25.71935972824232,CNC(=O)c1cccc(NC(=O)N2CCC(CC2)Oc2ccccc2Cl)c1
BJ1896136,70.65928284533453,-4.807777491517671,Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21 |t:8|
BJ1896017,104.0435381490296,-9.335497809778165,Cc1cc(C)c(NC(=O)N(Cc2ccc-3c(Cc4ccccc-34)c2)C2CCCCCC2)c(C)c1
BJ1894210,76.62754435572002,-15.015931864130346,CC1CCN=C(N)S1 |t:4|
BJ1894329,74.29307929505356,-2.198265111529456,"COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(c1ccccc1)c1ccccc1 |c:4,9|"
BJ1895992,84.4262411342958,-6.048679572088916,"CCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@@]1(C)OC(C)=O)O[C@@H]1[C@@H](C)O[C@@H](O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](OC(C)=O)\C=C\C=C\C[C@@H](C)OC(=O)C[C@@H](OC(=O)CC)[C@@H]2OC)[C@H](O)[C@H]1N(C)C |t:38,40|"
BJ1896817,101.47510779574873,1.3935543138724549,Cc1ccc2nc(N)nc(O)c2c1Sc1ccncc1
BJ1894558,90.027236876116,2.5821278922075903,CCn1nc(C(O)=O)c(=O)c2cc3OCOc3cc12
BJ1894572,109.50965167219306,20.18183157963837,CN1CCN(CC1)C(c1ccccc1)c1ccccc1
BJ1894567,102.73206630904316,12.750128655107089,Oc1ccc(Cl)c2cccnc12
BJ1896431,81.72123851009752,9.051831747178197,COCCN1CCC(CC1)(C(=O)NO)S(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1
BJ1894099,29.16971382578859,-2.607997097941128,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1
BJ1896838,96.20232677214877,12.40701139695834,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
BJ1896500,79.0404076170936,-10.773596474945958,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCC1
BJ1894110,77.00543787981691,-6.90015718907285,Cc1[nH]c2ccc(O)cc2c1CCN
BJ1894127,67.0370350906493,-7.489396527483542,Oc1ccc(cc1O)\C=C(/C#N)C(=O)Nc1ccccc1
BJ1894273,59.53089109513955,37.27365405001245,CC(C)n1cnc2c(cc(Cl)cc12)C(=O)N[C@H]1CN2CCC1CC2
BJ1894289,79.60968146386246,51.10655659834737,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C
BJ1896417,31.82514523281522,0.960966361699738,CN(c1ccc(NC(=O)Nc2ccccc2)cc1)S(=O)(=O)c1cnn(c1)-c1ccc(F)cc1
BJ1894021,75.19293854046806,-13.652717877479308,OC(=O)c1cc(O)c2ccc(Cl)cc2n1
BJ1896371,124.47370550423952,-7.802543012132963,Nc1cccc(CNC(=O)c2ccc(Oc3ccc(OCc4cccc(F)c4)cc3)nc2)c1
